iter	Passed	Remaining
0	167	167023
1	264	132085
2	361	120301
3	461	114804
4	561	111818
5	659	109296
6	768	109004
7	868	107643
8	984	108422
9	1085	107482
10	1182	106339
11	1280	105438
12	1389	105532
13	1484	104529
14	1583	103999
15	1686	103741
16	1785	103218
17	1890	103130
18	1991	102804
19	2099	102857
20	2201	102638
21	2303	102401
22	2413	102540
23	2527	102794
24	2634	102728
25	2732	102376
26	2827	101906
27	2923	101475
28	3035	101629
29	3139	101504
30	3253	101687
31	3354	101474
32	3468	101648
33	3567	101359
34	3679	101445
35	3786	101400
36	3893	101338
37	3995	101138
38	4101	101072
39	4208	101011
40	4315	100938
41	4426	100971
42	4526	100730
43	4629	100587
44	4738	100567
45	4850	100605
46	4960	100582
47	5068	100516
48	5173	100413
49	5277	100273
50	5377	100063
51	5492	100128
52	5598	100030
53	5710	100031
54	5810	99841
55	5913	99684
56	6017	99560
57	6116	99343
58	6218	99174
59	6331	99190
60	6440	99148
61	6552	99132
62	6648	98886
63	6758	98848
64	6858	98657
65	6970	98643
66	7083	98637
67	7179	98407
68	7294	98426
69	7398	98288
70	7512	98299
71	7614	98139
72	7722	98065
73	7836	98065
74	7956	98132
75	8106	98554
76	8243	98817
77	8362	98851
78	8468	98726
79	8573	98593
80	8682	98512
81	8779	98284
82	8887	98189
83	9003	98184
84	9110	98075
85	9215	97941
86	9405	98708
87	9559	99066
88	9662	98908
89	9787	98957
90	9901	98904
91	10000	98702
92	10104	98543
93	10261	98903
94	10366	98753
95	10484	98732
96	10600	98687
97	10706	98543
98	10819	98463
99	10922	98298
100	11023	98123
101	11131	97998
102	11239	97885
103	11334	97647
104	11438	97498
105	11547	97387
106	11657	97287
107	11758	97117
108	11872	97050
109	11972	96867
110	12079	96742
111	12188	96638
112	12300	96549
113	12406	96422
114	12515	96317
115	12629	96245
116	12727	96052
117	12830	95902
118	12933	95747
119	13045	95664
120	13156	95575
121	13254	95391
122	13365	95298
123	13480	95229
124	13590	95134
125	13695	95001
126	13805	94896
127	13915	94799
128	14023	94684
129	14128	94555
130	14237	94447
131	14350	94365
132	14445	94170
133	14553	94055
134	14651	93878
135	14759	93766
136	14855	93579
137	14966	93489
138	15078	93396
139	15191	93316
140	15289	93149
141	15398	93040
142	15505	92927
143	15608	92783
144	15715	92665
145	15823	92556
146	15936	92476
147	16049	92395
148	16171	92360
149	16294	92336
150	16395	92185
151	16512	92121
152	16623	92027
153	16736	91941
154	16847	91847
155	16960	91761
156	17066	91637
157	17181	91561
158	17283	91416
159	17403	91366
160	17511	91253
161	17630	91198
162	17769	91246
